question,answer,type
What is the significance of the oceanarium's location?,The oceanarium's remote location from the ocean adds to its uniqueness and appeal as a tourist destination.,6
What distinguishes the oceanarium's design?,The oceanarium's design incorporates large reservoirs that hold millions of liters of water and create natural conditions for marine inhabitants.,6
How does the oceanarium contribute to scientific research?,The oceanarium contributes to scientific research by providing a controlled environment for studying marine life and behavior.,6
What educational opportunities are available at the oceanarium?,The oceanarium offers educational programs for visitors to learn about marine life and conservation.,6
What are some features of the oceanarium's exhibitions?,"The oceanarium's exhibitions feature a variety of tanks with different volumes and habitats, allowing visitors to observe marine life up close.",6
How does the oceanarium enhance its visitors' experience?,The oceanarium enhances its visitors' experience by offering amenities such as ticket discounts and online booking options.,6
What is the title of the Ferris wheel?,The Ferris Wheel «Ailand».,7
Where is the Ferris wheel located?,"Астана, Коргалжинское шоссе, 2.",7
What is the phone number of the Ferris wheel?,+7 (7172) 79-04-39.,7
What is the link to the Ferris wheel's webpage?,https://astana.citypass.kz/en/2017/05/15/koleso-obozreniya-duman/,7
What is the height and weight of the Ferris wheel?,The Ferris wheel is 65 meters high and weighs 270 tons.,7
What is special about the Ferris wheel's design?,The Ferris wheel's design is specially developed to withstand the climatic features of Astana.,7
How many enclosed booths does the Ferris wheel have?,The Ferris wheel is equipped with 36 enclosed booths.,7
What amenities are provided in each booth?,Each booth is equipped with air conditioning and heating systems.,7
What is the capacity of a standard cabin?,The capacity of a standard cabin is 6 people.,7
How many high-comfort cabins are there?,There are four high-comfort cabins.,7
When is the Ferris wheel open?,The Ferris wheel is open all day.,7
What is the significance of the Ferris wheel for Nur-Sultan (Astana)?,The Ferris wheel became a new attraction of Nur-Sultan (Astana) and won the hearts of residents and guests of the city.,7
Who was one of the first to ride the Ferris wheel?,"Anastasia Ivleeva, the host of the program ""heads and Tails. Reload"", was one of the first to ride the Ferris wheel.",7
What views can you enjoy from the highest point of the Ferris wheel?,"From the highest point of the Ferris wheel, you can enjoy a beautiful view of the right and left bank of the city.",7
What is emphasized about the city's architectural structures?,The city's architectural structures are described as beautiful and bold solutions.,7
How does the Ferris wheel operate in winter?,"In winter, the Ferris wheel operates at temperatures up to -15 degrees Celsius, with wind gusts of up to 20 meters per second.",7
What is the ticket price for the Ferris wheel?,Ticket prices for the Ferris wheel have become even more profitable.,7
What benefit do Astana PASS holders have?,"Astana PASS holders can use the stairs located on the left, which are intended for exit.",7
What experience can visitors expect from a ride on the Ferris wheel?,Visitors can expect to enjoy excellent views of the capital from the height of bird flight and gain bright impressions.,7
What role does the Ferris wheel play in showcasing the beauty of Astana?,"The Ferris wheel showcases the beauty of Astana from a new perspective, allowing visitors to fall in love with the city again.",7
What makes the Ferris wheel unique compared to other attractions in Astana?,"The Ferris wheel offers panoramic views of the city and operates in various weather conditions, providing a unique experience for visitors.",7
How does the Ferris wheel contribute to the tourism industry of Astana?,"The Ferris wheel attracts tourists and adds to the list of attractions in Astana, enhancing the city's tourism appeal.",7
What promotional activity featured the Ferris wheel before its official opening?,"The Ferris wheel was featured in the famous TV show about travel ""heads and Tails. Reload"", with Anastasia Ivleeva being one of the first to ride it.",7
What measures are taken to ensure visitor comfort on the Ferris wheel?,The Ferris wheel is equipped with air conditioning and heating systems to ensure visitor comfort in any weather.,7
What makes the Ferris wheel suitable for extreme weather conditions?,"The Ferris wheel's design incorporates technology used in tornado zones, making it suitable for extreme weather conditions.",7
How does the Ferris wheel contribute to the entertainment options in Astana?,The Ferris wheel offers a unique entertainment experience and adds to the diversity of attractions available in Astana.,7
What distinguishes the Ferris wheel from other observation wheels?,The Ferris wheel is the largest in Kazakhstan and offers enclosed booths with air conditioning and heating systems.,7
What is the significance of the Ferris wheel's location?,"The Ferris wheel's location provides panoramic views of the city, showcasing its architectural beauty and landmarks.",7
How does the Ferris wheel contribute to the city's skyline?,The Ferris wheel adds to the city's skyline with its towering height and iconic presence.,7
What role does the Ferris wheel play in promoting tourism?,"The Ferris wheel serves as a tourist attraction, offering visitors panoramic views of the city and enhancing their experience of Astana.",7
What distinguishes the Ferris wheel's design from traditional Ferris wheels?,The Ferris wheel's design is specially developed to withstand the climatic features of Astana and incorporates technology used in tornado zones.,7
What amenities are provided in the high-comfort cabins?,The high-comfort cabins offer additional amenities for a more luxurious experience.,7
How does the Ferris wheel contribute to the city's tourism economy?,"The Ferris wheel attracts tourists, generating revenue for the city's tourism industry.",7
What promotional opportunities are available for visitors to the Ferris wheel?,Visitors can take advantage of promotional offers such as discounts and special packages for tickets.,7
What distinguishes the Ferris wheel's construction process?,"The Ferris wheel's construction process incorporates technology used in tornado zones, ensuring its stability in extreme weather conditions.",7
How does the Ferris wheel contribute to the city's reputation?,The Ferris wheel enhances the city's reputation as a modern and tourist-friendly destination.,7
What is the cultural significance of the Ferris wheel?,"The Ferris wheel adds to the cultural landscape of Astana, providing residents and visitors with a unique perspective of the city.",7
How does the Ferris wheel contribute to the city's leisure activities?,The Ferris wheel offers a leisure activity that allows visitors to relax and enjoy panoramic views of the city.,7
What is the capacity of the Ferris wheel?,The Ferris wheel can accommodate up to 6 people in a standard cabin.,7
What safety measures are in place for visitors to the Ferris wheel?,"The Ferris wheel is designed and operated to meet safety standards, ensuring a secure experience for visitors.",7
What makes the Ferris wheel a popular attraction?,"The Ferris wheel's panoramic views, comfortable cabins, and unique design make it a popular attraction for visitors.",7
How does the Ferris wheel enhance the city's skyline?,The Ferris wheel adds to the city's skyline with its towering height and iconic presence.,7
What is the title of the exotarium?,Exotarium “Ailand”.,8
Where is the exotarium located?,"Астана, Коргалжинское шоссе, 2.",8
What is the phone number of the exotarium?,+7 (7172) 79-04-39.,8
What is the link to the exotarium's webpage?,https://astana.citypass.kz/en/2022/01/17/ekzotarium-ailand/,8
What is the main focus of the description?,The description is focused on the Orthodox community in Kazakhstan and the Uspensky (Assumption) Cathedral.,8
When was the Uspensky (Assumption) Cathedral built?,The Uspensky (Assumption) Cathedral was raised in 2009.,8
What unique items does the cathedral preserve?,"The cathedral preserves relics of St. Andrew the Apostle, relics of saints from Kyiv Pechersk Lavra, an icon with relics of St. Andrew Svirsky, an icon of St. Mary of Egypt, and an icon of Our Lady of Kazan.",8
Who decorated the interior of the church?,The interior of the church was decorated by artists from the Russian village of Palekh.,8
What role does the Uspensky Cathedral play in the Orthodox community?,The Uspensky Cathedral acts as a center for the Orthodox community in Kazakhstan.,8
What organizations are hosted by the cathedral?,The cathedral hosts the Synod of Orthodox Churches of Kazakhstan and the Ss. Cyril and Methodius Spiritual and Cultural Center.,8
What is the significance of the Uspensky Cathedral in Kazakhstan?,The Uspensky Cathedral is significant as a religious and cultural landmark for the Orthodox community in Kazakhstan.,8
How does the cathedral contribute to religious diversity in Kazakhstan?,"The cathedral represents the Orthodox Christian faith, adding to the religious diversity in Kazakhstan alongside mosques and other religious institutions.",8
What makes the Uspensky Cathedral unique?,"The cathedral is unique due to its architectural design, cultural significance, and the presence of valuable relics and icons.",8
What events or activities are held at the Uspensky Cathedral?,"The cathedral hosts religious services, ceremonies, and cultural events for the Orthodox community.",8
How does the cathedral contribute to spiritual and cultural life in Kazakhstan?,"The cathedral serves as a center for spiritual and cultural activities, fostering a sense of community among Orthodox believers.",8
What is the role of the Synod of Orthodox Churches of Kazakhstan?,The Synod of Orthodox Churches of Kazakhstan plays a central role in governing and coordinating Orthodox religious affairs in the country.,8
What is the historical background of the Uspensky Cathedral?,The Uspensky Cathedral was built relatively recently in 2009 but holds significant religious and cultural importance for Orthodox Christians in Kazakhstan.,8
How does the cathedral contribute to interfaith dialogue?,The cathedral provides a space for interfaith dialogue and cooperation by hosting events and activities that promote understanding and tolerance among different religious communities.,8
What is the cultural significance of the icons preserved in the cathedral?,"The icons preserved in the cathedral hold cultural and religious significance for Orthodox Christians, representing spiritual connections and historical traditions.",8
How does the cathedral promote religious tolerance?,The cathedral promotes religious tolerance by welcoming visitors of all faiths and fostering dialogue and understanding among religious communities.,8
What is the architectural style of the Uspensky Cathedral?,The architectural style of the Uspensky Cathedral reflects traditional Orthodox design elements and incorporates cultural motifs from the Russian village of Palekh.,8
How does the cathedral contribute to the cultural identity of Kazakhstan?,The cathedral contributes to the cultural identity of Kazakhstan by preserving Orthodox religious traditions and serving as a symbol of religious diversity in the country.,8
What role does the Ss. Cyril and Methodius Spiritual and Cultural Center play?,The Ss. Cyril and Methodius Spiritual and Cultural Center provides educational and cultural programs to promote Orthodox Christian values and traditions.,8
What is the significance of the relics housed in the cathedral?,The relics housed in the cathedral are revered by Orthodox Christians and serve as objects of veneration and spiritual devotion.,8
How does the cathedral contribute to the cultural heritage of Kazakhstan?,The cathedral contributes to the cultural heritage of Kazakhstan by preserving Orthodox religious practices and artifacts.,8
What cultural influences are reflected in the decoration of the church interior?,"The decoration of the church interior reflects cultural influences from the Russian village of Palekh, known for its traditional painting style.",8
What is the role of the Uspensky Cathedral in promoting religious unity?,The Uspensky Cathedral promotes religious unity by providing a space for Orthodox Christians to come together in worship and fellowship.,8
How does the cathedral contribute to the spiritual life of believers?,"The cathedral contributes to the spiritual life of believers by offering religious services, sacraments, and opportunities for prayer and contemplation.",8
What measures does the cathedral take to preserve its historical and cultural significance?,"The cathedral takes measures to preserve its historical and cultural significance through conservation efforts, educational programs, and public outreach.",8
What is the significance of the relics of St. Andrew the Apostle?,The relics of St. Andrew the Apostle are considered sacred by Orthodox Christians and are believed to have spiritual power and significance.,8
How does the cathedral contribute to the cultural exchange between Kazakhstan and other countries?,"The cathedral promotes cultural exchange by hosting international events, exhibitions, and collaborations with Orthodox communities from other countries.",8
What cultural events are organized by the cathedral?,"The cathedral organizes cultural events such as concerts, art exhibitions, and religious festivals to celebrate Orthodox traditions and promote cultural exchange.",8
How does the cathedral support the local community?,"The cathedral supports the local community by providing spiritual guidance, social services, and opportunities for cultural enrichment.",8
What educational programs are offered by the Ss. Cyril and Methodius Spiritual and Cultural Center?,"The Ss. Cyril and Methodius Spiritual and Cultural Center offers educational programs on Orthodox Christian theology, history, and cultural traditions.",8
What is the role of the cathedral in preserving religious heritage?,"The cathedral plays a vital role in preserving Orthodox religious heritage by safeguarding relics, icons, and sacred traditions passed down through generations.",8
How does the cathedral contribute to the promotion of peace and harmony?,"The cathedral contributes to the promotion of peace and harmony by fostering interfaith dialogue, promoting understanding, and advocating for tolerance and cooperation.",8
What impact does the Uspensky Cathedral have on the local community?,"The Uspensky Cathedral has a significant impact on the local community by providing spiritual support, cultural enrichment, and opportunities for community engagement.",8
How does the cathedral commemorate religious holidays and events?,"The cathedral commemorates religious holidays and events through special services, ceremonies, and cultural programs that engage the community in spiritual celebrations.",8
What role does the Uspensky Cathedral play in promoting cultural diversity?,The Uspensky Cathedral promotes cultural diversity by welcoming visitors from diverse backgrounds and fostering appreciation for Orthodox Christian traditions and cultural heritage.,8
What makes the Uspensky Cathedral a significant landmark in Kazakhstan?,"The Uspensky Cathedral is a significant landmark in Kazakhstan due to its architectural beauty, cultural importance, and role as a center of Orthodox Christian worship.",8
How does the cathedral contribute to the spiritual well-being of its congregation?,"The cathedral contributes to the spiritual well-being of its congregation through religious services, sacraments, pastoral care, and opportunities for prayer and reflection.",8
What historical events are associated with the Uspensky Cathedral?,"The Uspensky Cathedral was built in 2009 and has since become a symbol of Orthodox Christianity in Kazakhstan, hosting significant religious and cultural events.",8
What is the title of the museum?,Museum of Saken Seifullin.,9
Where is the museum located?,"Астана, ул. Ауэзова, 20.",9
What is the phone number of the museum?,+7 (7172) 79-04-39.,9
What is the link to the museum's webpage?,https://astana.citypass.kz/en/2018/02/15/muzey-sakena-seyfullina/,9
When was the Seifullin Museum opened?,The Seifullin Museum in Astana was opened in 1988.,9
What is the historical significance of the museum building?,"The museum building, constructed in 1946, is considered an architectural monument of the last century.",9
How many halls does the Seifullin Museum consist of?,The Seifullin Museum consists of six halls.,9
What is the focus of the museum's exhibits?,"The exhibits focus on various periods of Saken Seifullin's life, highlighting his role in cultural development and personal growth.",9
How many exhibits characterize Saken Seifullin's life and activities?,"More than 5,000 exhibits characterize Saken Seifullin's life and social activities.",9
What type of items can visitors see in the museum's collection?,"Visitors can see personal belongings, books, photos, manuscripts, and other items related to Saken Seifullin's life and era.",9
Who is Nina Mokina in relation to Saken Seifullin?,"Nina Mokina was the poet's muse, and photos of her are included among the museum's exhibits.",9
What services does the museum provide for tourist groups?,The museum provides excursion support for tourist groups for a more detailed acquaintance with Saken Seifullin's work.,9
What educational activities does the museum offer?,The museum regularly hosts open classes and seminars for schoolchildren and students.,9
What period of time does the museum cover in its exhibits?,The museum covers the fruitful life of Saken Seifullin in Akmolinskaya during the 20-30 years of the 20th century.,9
What is the significance of Saken Seifullin in Kazakh culture?,Saken Seifullin is significant in Kazakh culture for his contributions to literature and cultural development.,9
How does the museum preserve the memory of Saken Seifullin?,"The museum preserves the memory of Saken Seifullin through its exhibits and educational programs, ensuring his legacy is remembered.",9
What is the importance of Saken Seifullin's personal belongings in the museum's collection?,"Saken Seifullin's personal belongings offer insights into his life, personality, and the historical context in which he lived.",9
Why are open classes and seminars held at the museum?,"Open classes and seminars are held to educate visitors, particularly schoolchildren and students, about Saken Seifullin's work and cultural significance.",9
How does the museum make visitors feel closer to Saken Seifullin?,"The museum allows visitors to see personal items and photos of Saken Seifullin, fostering a sense of closeness to the poet and his era.",9
What is the role of the museum in cultural education?,The museum plays a vital role in cultural education by preserving and presenting the life and work of Saken Seifullin to the public.,9
How does the museum contribute to promoting Saken Seifullin's legacy?,"The museum promotes Saken Seifullin's legacy through its exhibits, educational activities, and outreach efforts.",9
What can visitors learn about Saken Seifullin from the museum's collection?,"Visitors can learn about Saken Seifullin's life, contributions to literature, and his impact on Kazakh culture from the museum's collection.",9
What distinguishes the Seifullin Museum from other museums in Astana?,"The Seifullin Museum stands out for its focus on the life and works of Saken Seifullin, offering visitors a unique perspective on the poet and his era.",9
How does the museum contribute to cultural tourism in Astana?,The museum attracts cultural tourists interested in learning about Saken Seifullin and exploring Kazakhstan's literary heritage.,9
What can visitors expect to see in the museum's six halls?,"Visitors can expect to see exhibits covering various aspects of Saken Seifullin's life, including personal belongings, photos, manuscripts, and historical context.",9
What is the significance of the museum's location in Astana?,The museum's location in Astana makes it accessible to visitors and contributes to the city's cultural landscape.,9
What makes Saken Seifullin a notable figure in Kazakh literature?,"Saken Seifullin is notable for his contributions to Kazakh literature, particularly for his poetry and cultural activism.",9
How does the museum honor Saken Seifullin's memory?,The museum honors Saken Seifullin's memory by preserving his personal belongings and showcasing his achievements to the public.,9
What is the main focus of the museum's educational programs?,The main focus of the museum's educational programs is to promote awareness and appreciation of Saken Seifullin's life and works among visitors.,9
How does the museum contribute to cultural enrichment in Astana?,"The museum enriches Astana's cultural scene by offering insights into the life and works of Saken Seifullin, a prominent figure in Kazakh literature.",9
What role does Saken Seifullin play in the cultural heritage of Kazakhstan?,"Saken Seifullin is an integral part of Kazakhstan's cultural heritage, representing the country's literary legacy and cultural identity.",9
What distinguishes the museum's collection of Saken Seifullin's artifacts?,"The museum's collection of Saken Seifullin's artifacts offers a comprehensive overview of the poet's life, from personal items to historical context.",9
How does the museum engage with visitors?,"The museum engages with visitors through its exhibits, guided tours, open classes, and seminars, providing opportunities for learning and reflection.",9
What is the significance of the museum's role in preserving cultural heritage?,The museum plays a vital role in preserving Saken Seifullin's cultural heritage and ensuring that future generations can appreciate his contributions to Kazakh literature.,9
What is the primary goal of the museum's exhibitions?,The primary goal of the museum's exhibitions is to celebrate the life and works of Saken Seifullin and promote awareness of his cultural legacy.,9
How does the museum contribute to the promotion of Kazakh literature?,The museum contributes to the promotion of Kazakh literature by highlighting the achievements of Saken Seifullin and showcasing the richness of the country's literary tradition.,9
What makes Saken Seifullin's life and work relevant to contemporary audiences?,"Saken Seifullin's life and work remain relevant to contemporary audiences due to their exploration of universal themes such as identity, cultural heritage, and social activism.",9
What is the significance of Saken Seifullin's contributions to culture and society?,"Saken Seifullin's contributions to culture and society are significant as they reflect the aspirations and struggles of the Kazakh people, promoting unity and national identity.",9
What is the title of the exhibition?,The Hall of Gold in the National Museum of the Republic of Kazakhstan.,10
Where is the exhibition located?,"Астана, проспект Тәуелсіздік, 54.",10
What is the phone number of the exhibition?,+7 (7172) 79-04-39,10
What is the link to the exhibition's webpage?,https://astana.citypass.kz/en/2018/09/05/zal-zoloto-v-nacionalynom-muzee-respubliki-kazahstan/,10
What is the purpose of the Hall of Gold?,"The Hall of Gold serves as a treasury and storage of unique valuable artifacts, particularly those made of gold and precious metals found in Kazakhstan.",10
How often is the exposition of the hall updated?,The exposition of the hall is annually updated with unique exhibits made of gold and precious metals found within the framework of the state program 'Cultural heritage'.,10
What is significant about the gold products of the Scythian-Saka culture?,"Gold products of the Scythian-Saka culture are known worldwide for their richness and uniqueness, especially those found in rich burials of Saka leaders.",10
What is the hallmark of the Scythian-Saka culture?,The hallmark of the Scythian-Saka culture is the so-called 'animal style'.,10
What time period do the gold products in the exhibition cover?,The exhibition presents gold products covering the time period from the Bronze Age to the Golden Horde.,10
What are the main components of the 'Scythian triad'?,"The 'Scythian triad' consists of standard samples of weapons, horse harnesses, and art objects found in the famous Saka burial grounds.",10
What is the significance of the gold earring from the Mayemer burial ground?,The gold earring from the Mayemer burial ground is a rarity and represents a significant archaeological find from East Kazakhstan.,10
What is the main exhibit of the exhibition?,"The main exhibit of the exhibition is the 'Golden man', a prominent example of Saka art found during the excavation of the Issyk mound.",10
Who led the excavation that discovered the 'Golden man'?,The 'Golden man' was found during the excavation of the Issyk mound by a group of archaeologists under the leadership of Kemal Akishev.,10
What is notable about the 'Golden man'?,"The 'Golden man' includes more than 4 thousand gold products made in a variety of techniques, representing the pinnacle of Saka art in the 'animal style'.",10
What is the historical significance of the 'Golden man'?,"The 'Golden man' is a significant historical artifact dating back to the V-IV centuries BC, providing insights into the culture and craftsmanship of the Saka people.",10
How many gold ornaments are included in the clothing elements of the 'Golden man'?,The clothing elements of the 'Golden man' include more than 1800 gold ornaments in the form of fish scales.,10
What techniques were used to create the gold products of the 'Golden man'?,"The gold products of the 'Golden man' were made using techniques such as forging, stamping, engraving, and grain.",10
What regions of Kazakhstan are represented in the exhibits?,Exhibits from regions such as East Kazakhstan and Karaganda region are represented in the exhibition.,10
What is the aesthetic approach of the early nomads of the Saka time?,The aesthetic approach of the early nomads of the Saka time is reflected in their rich burial artifacts and the 'Scythian triad' found in burial grounds.,10
How does the Hall of Gold contribute to preserving Kazakhstan's cultural heritage?,"The Hall of Gold preserves and showcases valuable artifacts from Kazakhstan's history, particularly those related to the Scythian-Saka culture, contributing to the preservation of the country's cultural heritage.",10
What makes the Hall of Gold unique among other exhibitions?,"The Hall of Gold stands out for its collection of unique gold artifacts, particularly those from the Scythian-Saka culture, providing visitors with a glimpse into Kazakhstan's rich history.",10
What is the cultural significance of the 'Scythian triad'?,"The 'Scythian triad' represents the cultural and artistic achievements of the early nomads of the Saka time, showcasing their mastery in weaponry, horse harnesses, and art.",10
How does the Hall of Gold contribute to archaeological research?,"The Hall of Gold provides valuable insights for archaeological research through its collection of artifacts, offering researchers a deeper understanding of Kazakhstan's ancient history.",10
What themes are explored in the exhibition?,"The exhibition explores themes such as the Scythian-Saka culture, craftsmanship, aesthetics, and the historical significance of gold artifacts in Kazakhstan.",10
What are some examples of gold artifacts found in the exhibition?,Examples of gold artifacts include the gold earring from the Mayemer burial ground and the more than 1800 gold ornaments in the clothing elements of the 'Golden man'.,10
How does the Hall of Gold contribute to public education?,The Hall of Gold educates the public about Kazakhstan's rich history and cultural heritage through its exhibitions and displays of valuable artifacts.,10
What is the significance of the Hall of Gold for Kazakhstan?,"The Hall of Gold symbolizes Kazakhstan's cultural richness and historical legacy, serving as a reminder of the country's ancient heritage and artistic achievements.",10
What role does the Hall of Gold play in promoting tourism?,"The Hall of Gold attracts tourists by offering them a unique opportunity to explore Kazakhstan's history and cultural treasures, particularly its gold artifacts.",10
How does the Hall of Gold contribute to national pride?,"The Hall of Gold instills a sense of national pride by showcasing Kazakhstan's cultural achievements and heritage, fostering appreciation for the country's rich history.",10
What are the main themes depicted in the exhibits?,"The main themes depicted in the exhibits include the Scythian-Saka culture, craftsmanship, ancient burial practices, and the historical significance of gold artifacts.",10
What makes the 'Golden man' a significant historical find?,"The 'Golden man' is a significant historical find due to its exquisite craftsmanship, artistic value, and the insights it provides into the culture and society of the Saka people.",10
What is the primary focus of the Hall of Gold's exhibitions?,The primary focus of the Hall of Gold's exhibitions is to showcase Kazakhstan's rich history and cultural heritage through its collection of gold artifacts.,10
How does the Hall of Gold contribute to cultural exchange?,"The Hall of Gold facilitates cultural exchange by showcasing Kazakhstan's cultural heritage to visitors from around the world, fostering a greater understanding and appreciation of the country's history.",10
What is the cultural significance of the 'animal style' in Saka art?,"The 'animal style' in Saka art represents a unique cultural expression characterized by intricate animal motifs and symbolism, reflecting the spiritual and aesthetic beliefs of the Saka people.",10
What materials are used in creating the gold artifacts?,"The gold artifacts are made primarily of gold and precious metals, showcasing the craftsmanship and artistic skills of ancient Kazakh artisans.",10
What is the historical context of the 'Golden man'?,"The 'Golden man' dates back to the V-IV centuries BC, a period associated with the height of Saka culture and influence in Central Asia.",10
What is the title of the building?,Palace of Independence.,11
Where is the building located?,"Астана, проспект Тауелсыздык, 52.",11
What is the phone number of the building?,+7 (7172) 79-04-39,11
What are the working hours of the building?,"Пн: технический день, Вт-Вс: с 10:00 до 18:00",11
What is the link to the building's website?,https://astana.citypass.kz/en/2018/04/28/dvorets-nezavisimosti/,11
How would you describe the architectural style of the Palace of Independence?,"The Palace of Independence features a modern futuristic design, resembling a trapezoid made of glass and decorated with a zigzag snow-white lattice.",11
When did the construction of the Palace of Independence begin and end?,The construction began in 2007 and was completed by the end of 2008.,11
Who was the author of the architectural project?,The author of the project was a Turkish architect.,11
What was the purpose behind constructing the Palace of Independence?,"The Palace of Independence was conceived as a venue for meetings, forums, conferences, and international events, as well as domestic gatherings.",11
What is housed on the first floor of the Palace?,"The first floor houses the Congress hall, a hall for ceremonies, a press center, and a Banquet hall.",11
How many people can the Congress hall accommodate?,"The Congress hall can accommodate more than 3,000 people.",11
What important events are held in the hall for ceremonies?,Important events such as the inauguration of the President are held in the hall for ceremonies.,11
What is located on the second floor of the Palace?,"The second floor of the Palace is dedicated to art, featuring galleries and exhibition halls with both permanent and temporary exhibitions.",11
What unique exhibits can be found in the hall of archeology?,The hall of archeology houses exhibits such as a Sarmatian warrior and the 'Golden man' - the remains of a Saka warrior from the 5th century BC adorned with pure gold clothing.,11
What is housed on the third floor of the Palace?,The third floor houses the Museum of the history of the capital of Kazakhstan.,11
What additional facilities does the Palace have?,"The Palace has a gallery of modern art, an electronic library, and facilities to explore the history of Astana and Kazakhstan.",11
What can visitors expect to find in the electronic library?,"Visitors can explore the history of Astana and Kazakhstan, view archaeological finds, and access modern documents related to the formation of the Republic and the construction of its capital.",11
What is the purpose of the Museum of the history of the capital of Kazakhstan?,The museum aims to showcase the history and development of the capital city of Kazakhstan.,11
What is the significance of the Palace of Independence?,"The Palace of Independence serves as a key venue for various events and exhibitions, reflecting the dynamic development of Kazakhstan and its capital.",11
How does the Palace contribute to cultural enrichment?,"The Palace houses galleries, exhibitions, and museums dedicated to art, history, and archaeology, enriching visitors with cultural insights.",11
What is the primary function of the Congress hall?,"The Congress hall serves as a venue for large gatherings, conferences, and international events.",11
What is the capacity of the Banquet hall?,The Banquet hall can accommodate about 700 people for a festive feast.,11
What is the significance of the sculptures on the Palace?,"The sculptures reflect the aspirations and heritage of Kazakhstan, showcasing its cultural and historical richness.",11
What makes the Palace of Independence unique?,"The Palace's modern futuristic design, versatile facilities, and focus on art and history make it a unique landmark in Astana.",11
How does the Palace of Independence reflect the independence of Kazakhstan?,"The Palace's design and purpose symbolize the independence and dynamic development of Kazakhstan, serving as a testament to its progress.",11
What types of events are typically held in the Congress hall?,"The Congress hall hosts a variety of events, including meetings, forums, conferences, and international gatherings.",11
What role does the Palace play in promoting cultural heritage?,"The Palace preserves and showcases Kazakhstan's cultural heritage through its galleries, museums, and exhibitions, fostering cultural awareness and appreciation.",11
How does the Palace contribute to international relations?,"The Palace serves as a venue for international events, conferences, and forums, promoting dialogue and cooperation between Kazakhstan and other nations.",11
What distinguishes the Palace of Independence from other buildings in Astana?,"The Palace's unique design, versatile facilities, and focus on art and history distinguish it from other buildings in Astana.",11
What is the role of the electronic library in the Palace?,"The electronic library provides visitors with access to historical documents, archaeological findings, and modern resources related to Kazakhstan's history and development.",11
How does the Palace contribute to public education?,"The Palace educates the public about Kazakhstan's history and culture through its exhibitions, museums, and educational programs.",11
What is the significance of the Palace of Independence for Kazakhstan?,"The Palace symbolizes Kazakhstan's independence, progress, and cultural richness, serving as a landmark for its capital city.",11
What is the primary function of the Museum of the history of the capital of Kazakhstan?,"The museum aims to educate visitors about the history and development of Astana, the capital city of Kazakhstan.",11
How does the Palace of Independence contribute to tourism in Astana?,"The Palace attracts tourists by offering insights into Kazakhstan's history and culture through its exhibitions, museums, and architectural design.",11
What is the significance of the Palace's location in Astana?,"The Palace's location in Astana enhances its accessibility and visibility, making it a prominent landmark in the city.",11
What is the capacity of the press center?,The press center is equipped to accommodate media activities and events.,11
What is the historical significance of the archaeological exhibits?,"The archaeological exhibits provide insights into Kazakhstan's ancient history, showcasing artifacts such as the 'Golden man' from the 5th century BC.",11
What is the main theme of the Palace's exhibitions?,"The exhibitions at the Palace focus on Kazakhstan's history, culture, and development, providing visitors with a comprehensive understanding of the country.",11
What role does the Palace play in hosting official ceremonies?,"The Palace serves as a venue for official ceremonies, including the inauguration of the President and other significant events.",11
How does the Palace contribute to the cultural identity of Kazakhstan?,"The Palace showcases Kazakhstan's cultural heritage and artistic achievements, contributing to the country's cultural identity and pride.",11
What is the title of the landmark?,Arc de Triomphe «Mәңgіlіk El».,12
Where is the landmark located?,"Астана, пр. Мәңgіlіk Ел.",12
What is the phone number of the landmark?,+7 (7172) 79-04-39,12
What are the working hours of the landmark?,"Mn-Fr: с 10:00 до 18:00, St-Sn: closed",12
What is the link to the landmark's website?,https://astana.citypass.kz/en/2018/01/19/triumfalnaya-arka-m-gilik-el-2/,12
What is the height of the landmark?,"The height of the structure is equal to 20 meters, symbolizing the 20th anniversary of independence of Kazakhstan.",12
What sculptures are located on the pedestals?,"On the pedestals, there are relief sculptures reflecting the mentality of the Kazakh nation, including a sculpture of an Aksakal and a Woman-Mother.",12
What does the inscription 'Mangilik El' on the arch signify?,"The inscription 'Mangilik El' has a greater semantic meaning, symbolizing the eternal prosperity of Kazakhstan.",12
What can visitors find inside the arch during the ascent?,"During the ascent, visitors can find landscape, reportage, and genre photos that tell the history of the city.",12
When did the arc de Triomphe open to the General public?,"The arc de Triomphe opened to the General public on May 11, 2017.",12
What sculptures are present on the observation platform?,"On the observation platform, visitors see the majestic figures of soldiers-sculptures: 'Batyr, guarding the day' and 'Batyr, guarding the night' (author Mansurov M. A.).",12
What exhibitions are displayed on the staircases?,"Permanent photo exhibitions are displayed on the staircases, including 'The History of the city of Akmolinsk-Tselinograd-Akmola-Astana' and 'Modern Astana'.",12
What materials are available on the touch-screen information kiosks?,"The touch-screen information kiosks provide materials on 'Multimedia capital', 'Triumphal arches of the world', 'History of the city', 'Modern Astana', and 'Historical and cultural heritage of Astana'.",12
What is the significance of visiting the Arc de Triomphe?,"Visitors will touch not only the culture but also the modern history of Kazakhstan, embedded in the idea of the arc de Triomphe.",12
What history is embedded in the idea of the arc de Triomphe?,The entire history of the Republic of Kazakhstan and the heritage of the Kazakh people are embedded in the idea of the arc de Triomphe.,12
What role does the landmark play in the city?,"The landmark serves as a place that every resident and guest of the capital must visit, offering insights into the culture and history of Kazakhstan.",12
