Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
KeZdesy,,Кафе; Доставка готовых блюд,"улица Аспандияр Кенжин, 12",,,Коктал-1 пос.,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,5.0,13,87769444348,87764362805,,kezdesy88@mail.ru,,,,https://instagram.com/kezdesy_salavat7,,,https://wa.me/77769444348,,,,,,51.190314,71.322491,https://2gis.com/firm/70000001084128546,branch
TOOMAN,лаундж-бар,Кафе; Бары,"проспект Бауыржан Момышулы, 2в",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-02:00,+05:00,4.6,735,87479902022,,,,,,,https://instagram.com/tooman.nst,,,https://wa.me/77479902022,,,,,,51.132731,71.459819,https://2gis.com/firm/70000001045544201,branch
Кесе ,,Кафе; Доставка готовых блюд,"улица Кумкент, 20/1",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,27,87027858088,,,,,http://kese.astana,,https://instagram.com/kese.astana,,,https://wa.me/77027858088,,,,,,51.137553,71.511039,https://2gis.com/firm/70000001081181004,branch
Butcher`s Street,,Кафе; Доставка готовых блюд,"проспект Мангилик Ел, 37",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 08:30-24:00; Вт: 08:30-24:00; Ср: 08:30-24:00; Чт: 08:30-24:00; Пт: 08:30-24:00; Сб: 08:30-24:00; Вс: 08:30-24:00,+05:00,4.3,575,87777771036,,,info@butchersstreet.com,,,,https://instagram.com/butchers.street,,,,,,,,,51.103585,71.428818,https://2gis.com/firm/70000001031308957,branch
Жигуль Бар,гриль-бар,Кафе; Бары,"улица Мухамеджан Тынышбайулы, 8",5 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+05:00,5.0,459,87017785232,,,,,,,https://instagram.com/jigulbar,,,,,,,,,51.112958,71.532141,https://2gis.com/firm/70000001038303820,branch
Bourbon street,гастро-бар,Кафе; Бары; Доставка готовых блюд,"улица Ахмет Байтурсынулы, 23 блок Б",цокольный этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 17:00-04:00; Вт: 17:00-04:00; Ср: 17:00-04:00; Чт: 17:00-04:00; Пт: 17:00-04:00; Сб: 17:00-05:00; Вс: 17:00-05:00,+05:00,4.6,71,87011362888,,,,,,,https://instagram.com/bourbon.street.tse,,,https://wa.me/77011362888,,,,,,51.123108,71.48046,https://2gis.com/firm/70000001041001203,branch
222,,Кафе; Бильярдные залы,"улица Орхон, 61",2 этаж,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 14:00-07:00; Вт: 14:00-07:00; Ср: 14:00-07:00; Чт: 14:00-07:00; Пт: 14:00-07:00; Сб: 14:00-07:00; Вс: 14:00-07:00,+05:00,4.3,25,87072272019,,,,,,,,,,https://wa.me/77072272019,,,,,,51.138114,71.520464,https://2gis.com/firm/70000001065223564,branch
Januya,семейное кафе,Кафе; Доставка готовых блюд; Организация и проведение праздников,"улица Керей-Жанибек хандар, 28",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,4.3,186,,,,,,,,https://instagram.com/januya_ast,,,https://wa.me/77012663888,,,,https://t.me/+77012663888,,51.112433,71.435032,https://2gis.com/firm/70000001062269190,branch
Qurma,кафе,Кафе,"улица Айнакол, 38",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00,+05:00,4.9,51,87782591299,,,,,,,https://instagram.com/qurma.cafe01,,,https://wa.me/77782591299,,,,,,51.135018,71.509968,https://2gis.com/firm/70000001083387048,branch
Аружан,кафе,Кафе; Доставка готовых блюд,"улица Бесшалкар, 1",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.3,51,87074951616,,,,,,,https://instagram.com/aruzhan.kafe,,,https://wa.me/77074951616,,,,,,51.136455,71.512017,https://2gis.com/firm/70000001037182901,branch
Огонёк,шашлычная,Кафе; Доставка готовых блюд; Пиццерии,"проспект Бауыржан Момышулы, 28/15а",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00 (санитарный день: пн 12:00-15:00; служба доставки: пн-вс круглосуточно),+05:00,4.3,1501,87779991894 (служба бронирования столов ),87779991891 (служба доставки ),,_aziat_@inbox.ru,,http://www.ogn.kz,,https://instagram.com/ogonek_astana,https://facebook.com/899317470238699,,https://wa.me/77779991893,,,,,,51.146384,71.502886,https://2gis.com/firm/70000001018108224,branch
Yassi,кафе,Кафе,"улица Айнакол, 37а",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.3,18,87022731612,87011976121,,,,,,https://instagram.com/yassi.kafe,,,https://wa.me/77022731612,https://wa.me/77011976121,,,,,51.137175,71.514531,https://2gis.com/firm/70000001062689532,branch
Иzи Pub,,Кафе; Доставка готовых блюд,"улица Орхон, 16",2 этаж,,Силикатный ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.0,23,87002146198 (служба бронирования),,,,,,,https://instagram.com/izi.pub.astana,,,https://wa.me/77001506111,,,,,,51.132129,71.510131,https://2gis.com/firm/70000001065211286,branch
Shashlyk_ot_Kuki,,Кафе,"улица Кордай, 81",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.2,66,87775756000,,,,,,,https://instagram.com/shashlyk_ot_kuki,,,https://wa.me/77775756000,,,,,,51.128807,71.50629,https://2gis.com/firm/70000001080532946,branch
Balkan,гриль-паб,Кафе; Бары; Банкетные залы,"улица Балкантау, 52",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.6,98,87000202052,,,,,,,https://instagram.com/nursultan_balkan,,,https://wa.me/77000202052,,,,,,51.135474,71.499626,https://2gis.com/firm/70000001038549535,branch
ASR,кафе,Кафе; Доставка готовых блюд,"улица Ушкултай Субханбердина, 8",1 этаж,,Юго-Восток (левая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-02:00; Вт: 09:00-02:00; Ср: 09:00-02:00; Чт: 09:00-02:00; Пт: 09:00-02:00; Сб: 09:00-02:00; Вс: 09:00-02:00,+05:00,4.4,135,87764062233,,,,,,,https://instagram.com/asr.cafe,,,https://wa.me/77764062233,,,,,,51.144298,71.514516,https://2gis.com/firm/70000001054917381,branch
Әсіп,кафе,Кафе; Доставка готовых блюд,"проспект Магжана Жумабаева, 30/5а",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.7,584,87021937867,,,,,,,https://instagram.com/asip_astana_etnocafe,,,https://wa.me/77001090001,,,,,,51.140929,71.489608,https://2gis.com/firm/70000001052590035,branch
Алматинский дворик,кафе,Кафе; Бары,"улица Бурабай, 10",,,Юго-Восток (левая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-02:00; Вт: 11:00-02:00; Ср: 11:00-02:00; Чт: 11:00-02:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-02:00,+05:00,4.2,42,87017348788,,,,,,,https://instagram.com/almatinskiidvorik,,,https://wa.me/77017348788,,,,,,51.146741,71.513166,https://2gis.com/firm/70000001033022948,branch
Chica’Go,кафе,Кафе; Быстрое питание; Доставка готовых блюд,"улица Кенен Азербаев, 47",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-02:00; Сб: 10:00-03:00; Вс: 10:00-03:00,+05:00,4.3,42,87786663801,87088800765,,,,,,https://instagram.com/chicago.01,,,https://wa.me/77786663801,https://wa.me/77088800765,,,,,51.128903,71.504338,https://2gis.com/firm/70000001080303475,branch
Merdan,,Кафе,"проспект Бауыржан Момышулы, 31а",,,VIP-городок ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00,+05:00,4.6,31,87006472210,,,,,,,,,,https://wa.me/77006472210,,,,,,51.146114,71.497182,https://2gis.com/firm/70000001068951909,branch
Центр жареной рыбы,,Кафе,"улица Кенен Азербаев, 6",цокольный этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,4.4,22,,,,,,,,,,,,,,,,,51.12627,71.500984,https://2gis.com/firm/70000001049130857,branch
ШАВЕРМА,ресторан быстрого питания,Кафе; Быстрое питание,"проспект Ракымжан Кошкарбаев, 34",1 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.4,496,87076688061,,,,,,,https://instagram.com/shaverma.kz,,,https://wa.me/77076688061,,,,,,51.124994,71.484215,https://2gis.com/firm/70000001065607558,branch
Okadzaki.kz,кафе,Кафе; Доставка готовых блюд; Суши-бары; Пиццерии; Быстрое питание,"улица Шамши Калдаяков, 23",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.2,300,87762665493,,,okadzaki.kz@mail.ru,,http://okadzaki.kz,,https://instagram.com/okadzaki.kz,,,https://wa.me/77775555858,,,,https://t.me/+77773333333,,51.115155,71.484188,https://2gis.com/firm/70000001081293668,branch
Saporito,семейный итальянский ресторан,Кафе; Пиццерии; Доставка готовых блюд; Кондитерские изделия,"проспект Ракымжан Кошкарбаев, 34",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-01:00,+05:00,4.3,431,87075550977,87075550299 (служба доставки),,,,http://saporito.2gis.biz,,https://instagram.com/saporito.kz,,,https://wa.me/77075550977,,,viber://chat/?number=77075550977,https://t.me/saporitokz,,51.125084,71.482501,https://2gis.com/firm/70000001020311229,branch
SF,,Кафе; Доставка готовых блюд; Суши-бары; Быстрое питание; Пиццерии; Рестораны,"улица Касым Аманжолов, 26",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,1298,87777888888 (служба доставки: круглосуточно ),,,,,http://shaurma-food.kz,,https://instagram.com/sf.qaz,,,https://wa.me/77777888888,,,,,https://youtube.com/@sf-2077,51.119361,71.473849,https://2gis.com/firm/70000001077134992,branch
Той палау №1,,Кафе; Доставка готовых блюд,"улица Каныш Сатпаев, 18",,,Қараөткел ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.2,709,87007557879,,,,,,,https://instagram.com/toi_palau_astana,,,https://wa.me/77007557879,,,,,,51.142896,71.475095,https://2gis.com/firm/70000001080994474,branch
Lanzhou,китайское кафе,Кафе; Доставка готовых блюд,"улица Каныш Сатпаев, 22",2 этаж,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.5,2071,87780128808,,,,,http://lapsha.kz,,https://instagram.com/lanzhou_kafe_astana,https://facebook.com/lanzhoucafe,,https://wa.me/77780128808,,,,,https://youtube.com/channel/UCzJqeNn9HakKSKle96emQCA,51.13961,71.477771,https://2gis.com/firm/70000001040690311,branch
Sultani Mix,кафе быстрого питания,Кафе; Быстрое питание,"улица Куйши Дина, 20",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-03:00; Вт: 10:00-03:00; Ср: 10:00-03:00; Чт: 10:00-03:00; Пт: 10:00-03:00; Сб: 10:00-03:00; Вс: 10:00-03:00,+05:00,4.2,1994,87750430777 (служба доставки),87076020707 (служба доставки),,,,,,https://instagram.com/sultani.astana,,,,,,,,,51.14736,71.476179,https://2gis.com/firm/70000001042872720,branch
Jam,лаундж-бар,Кафе; Бары,"улица Таскескен, 17Б",ВП: 2,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.7,44,87057667667,,,,,,,https://instagram.com/lounge_jam,,,https://wa.me/77057667667,,,,,,51.130676,71.482785,https://2gis.com/firm/70000001070540575,branch
Dorama,,Кафе,"проспект Бауыржан Момышулы, 16",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.4,306,87757394949,,,,,,,https://instagram.com/dorama_astana,,,https://wa.me/77757394949,,,,,,51.140766,71.482788,https://2gis.com/firm/70000001079851569,branch
Мико,кафе,Кафе; Доставка готовых блюд,"проспект Абылай хана, 29",2 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.0,276,87782458818,,,,,,,https://instagram.com/miko_kafe_astana,,,,,,,,,51.155271,71.484958,https://2gis.com/firm/70000001083498801,branch
BBQ Golpas,,Кафе; Быстрое питание,"улица Талгар, 15Б",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.2,19,87058027117,,,,,,,,,,https://wa.me/77058027117,,,,,,51.140479,71.491623,https://2gis.com/firm/70000001061420166,branch
Панаехали,бар,Кафе; Бары,"проспект Абылай хана, 26/2",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 15:00-05:00; Вт: 15:00-05:00; Ср: 15:00-05:00; Чт: 15:00-05:00; Пт: 15:00-05:00; Сб: 15:00-05:00; Вс: 15:00-05:00,+05:00,4.3,658,87718777999,,,,,,,https://instagram.com/panaehali_abylaikhana,,,https://wa.me/77718777999,,,,,,51.154423,71.481159,https://2gis.com/firm/70000001055769380,branch
Бухара,кафе,Кафе; Доставка готовых блюд,"улица Куйши Дина, 4",1 этаж,,3 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.2,169,87770500840,87172351932,,,,,,https://instagram.com/bukhararest,,,https://wa.me/77770500840,,,,,,51.145525,71.464238,https://2gis.com/firm/70000001018085851,branch
P.love,,Кафе; Бары; Доставка готовых блюд,"улица Балкантау, 108",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.6,84,87757196868,,,,,,,https://instagram.com/p.love.astana,,,https://wa.me/77757196868,,,,,,51.132505,71.475322,https://2gis.com/firm/70000001058707951,branch
SF,,Кафе; Доставка готовых блюд; Суши-бары; Быстрое питание; Пиццерии; Рестораны,"проспект Ракымжан Кошкарбаев, 48",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00,+05:00,4.4,1363,87777888888 (служба доставки: круглосуточно ),,,,,http://shaurma-food.kz,,https://instagram.com/sf.qaz,,,https://wa.me/77777888888,,,,,https://youtube.com/@sf-2077,51.128102,71.495586,https://2gis.com/firm/70000001071472735,branch
SF,,Кафе; Быстрое питание; Суши-бары; Доставка готовых блюд; Пиццерии,"улица Каныш Сатпаев, 3",,,2 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.1,2541,87777888888 (служба доставки: круглосуточно ),,,,,http://shaurma-food.kz,,https://instagram.com/sf.qaz,,,https://wa.me/77777888888,,,,,https://youtube.com/@sf-2077,51.151799,71.467455,https://2gis.com/firm/70000001039956221,branch
Алтай mix,,Кафе,"улица Каныш Сатпаев, 9",1 этаж,,2 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.2,446,87786009834,,,,,,,https://instagram.com/altai_cafe,,,https://wa.me/77786009834,,,,,,51.149397,71.469027,https://2gis.com/firm/70000001055311697,branch
Hunter Pub,,Кафе; Бары,"проспект Бауыржан Момышулы, 6/1",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.4,19,87076600578,,,,,,,https://instagram.com/hunter_pub_astana,,,https://wa.me/77076600578,,,,,,51.137882,71.473333,https://2gis.com/firm/70000001040875509,branch
SF,,Кафе; Быстрое питание; Суши-бары; Доставка готовых блюд; Пиццерии,"проспект Ракымжан Кошкарбаев, 34",1 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.2,2961,87777888888 (служба доставки: круглосуточно ),,,,,http://shaurma-food.kz,,https://instagram.com/sf.qaz,,,https://wa.me/77777888888,,,,,https://youtube.com/@sf-2077,51.125105,71.483518,https://2gis.com/firm/70000001039956256,branch
Додо Пицца,пиццерия,Кафе; Пиццерии; Доставка готовых блюд; Быстрое питание,"проспект Ракымжан Кошкарбаев, 34",1 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.7,793,87719444004 (единый номер клиентской поддержки и приема заказов),,,feedback@dodopizza.kz,,http://dodopizza.onelink.me/G5bV/2gis,,https://instagram.com/dodopizza_astana,,https://vk.com/dodoastana,,,,,,,51.124939,71.484563,https://2gis.com/firm/70000001031021508,branch
Tandir house,,Кафе,"проспект Бауыржан Момышулы, 2Б",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.7,27,87074910202,87476395870,,,,,,https://instagram.com/tandir.house.astanaa,,,https://wa.me/77074910202,https://wa.me/77476395870,,,,,51.132038,71.459631,https://2gis.com/firm/70000001083826537,branch
KaRima,центр плова,Кафе; Доставка готовых блюд,"улица Достык, 12/1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,4962,87004487777,,,,,,,https://instagram.com/karima_plovcenter,,,,,,,,,51.125713,71.42695,https://2gis.com/firm/70000001041625905,branch
Balana,кафе,Кафе; Бары,"улица Беимбет Майлин, 21",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 13:00-01:00; Вт: 13:00-01:00; Ср: 13:00-01:00; Чт: 13:00-01:00; Пт: 13:00-01:00; Сб: 13:00-01:00; Вс: 13:00-01:00,+05:00,4.4,110,87071211010,,,,,,,https://instagram.com/balana_cafebar,,,https://wa.me/77071211010,,,,,,51.145913,71.476664,https://2gis.com/firm/70000001057655833,branch
Chicko,,Кафе; Доставка готовых блюд,"улица Шамши Калдаяков, 3",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.5,2311,87717666222,,,,,,,https://instagram.com/chicko_astana,,https://vk.com/chicko_russia,https://wa.me/77717666222,,,,https://t.me/gvl4jop_c9cymmzi,,51.11881,71.459151,https://2gis.com/firm/70000001067855129,branch
Панаехали,бар,Кафе; Бары,"улица Ахмет Байтурсынулы, 1",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 15:00-04:00; Вт: 15:00-04:00; Ср: 15:00-04:00; Чт: 15:00-04:00; Пт: 15:00-05:00; Сб: 15:00-05:00; Вс: 15:00-04:00,+05:00,4.1,911,87081118888,,,,,,,https://instagram.com/panaehali.highvill,,,https://wa.me/77081118888,,,,https://t.me/panaehali_highvill,,51.128287,71.458456,https://2gis.com/firm/70000001045311709,branch
Endorphin,,Кафе; Бары,"улица Куйши Дина, 25/1",,,6 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 15:00-03:00; Вт: 15:00-03:00; Ср: 15:00-03:00; Чт: 15:00-03:00; Пт: 15:00-04:00; Сб: 15:00-04:00; Вс: 15:00-03:00,+05:00,4.6,62,87781876263,,,,,,,https://instagram.com/endorphin.lounge,,,https://wa.me/77781876263,,,,,,51.148855,71.479834,https://2gis.com/firm/70000001053137023,branch
Lanzhou,китайское кафе,Кафе; Доставка готовых блюд,"улица Сарайшык, 5",2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.5,1942,87778858881,,,,,http://lapsha.kz,,https://instagram.com/lanzhou_kafe_astana,https://facebook.com/lanzhoucafe,,https://wa.me/77778858881,,,,,https://youtube.com/channel/UCzJqeNn9HakKSKle96emQCA,51.135651,71.423635,https://2gis.com/firm/70000001045983445,branch
Beer bar,,Кафе; Бары,"проспект Бауыржан Момышулы, 18",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 16:00-02:00; Вт: 16:00-02:00; Ср: 16:00-02:00; Чт: 16:00-02:00; Пт: 16:00-02:00; Сб: 16:00-02:00; Вс: 16:00-02:00,+05:00,4.7,52,87088419078,,,,,,,https://instagram.com/beer.bar_astana,,,https://wa.me/77088419078,,,,,,51.141591,71.484947,https://2gis.com/firm/70000001045239857,branch
Shafran,кафе,Кафе,"улица Керей-Жанибек хандар, 12Б",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 12:00-24:00,+05:00,4.4,1367,87077172030,,,,,,,https://instagram.com/shafran.kz,,,https://wa.me/77077172030,,,,https://t.me/asset_888,,51.115172,71.415442,https://2gis.com/firm/70000001056285534,branch
Giraffe,кафе,Кафе,"улица Елубай Тайбеков, 13",1 этаж,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.2,1420,87750054114,,,,,,,https://instagram.com/giraffe.doner,,,https://wa.me/77750054114,,,,,,51.144601,71.42722,https://2gis.com/firm/70000001019720197,branch
