Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Karnelli,лаундж-бар,Рестораны; Бары,"проспект Тауелсиздик, 23",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.1,26,87073334045,,,,,,,,,https://instagram.com/karnelli_lounge.bar,,,,https://wa.me/77073334045,,,,,,,51.144405,71.460529,https://2gis.com/firm/70000001083540277,branch
Wyndham Garden Astana,отель,Рестораны; Гостиницы; Караоке-залы; Бары; Банкетные залы; Конференц-залы / Переговорные комнаты,"улица Хусейн бен Талал, 25",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.2,250,87172790000,87172790217 (отдел продаж),87172790221 (отдел по организации банкетов),info@wyndhamgardenastana.com,,,http://wyndhamgardenastana.com,,,https://instagram.com/wyndhamgardenastana,,https://facebook.com/wgastana,,https://wa.me/77710226063,,,,,,,51.082111,71.407466,https://2gis.com/firm/70000001027222031,branch
CLV,гостевой комплекс,Рестораны; Караоке-залы; Бани / Сауны; SPA-процедуры; Банкетные залы,"улица Е 126, 6",,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,404,87009990505,87172280505,,clv9990505@mail.ru,,,,,,https://instagram.com/clv_astana,,,,https://wa.me/77009990505,,,,https://t.me/+77009990505,,,51.146309,71.34692,https://2gis.com/firm/70000001050669665,branch
The View,,Рестораны; Бары; Караоке-залы,"улица Достык, 2",27 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 15:00-24:00; Вт: 15:00-24:00; Ср: 15:00-24:00; Чт: 15:00-24:00; Пт: 18:00-02:00; Сб: 18:00-02:00; Вс: 15:00-24:00,+05:00,4.5,59,87010265082,,,,,,,,,https://instagram.com/theviewastana,,,,https://wa.me/77010265082,,,,,,,51.129164,71.407463,https://2gis.com/firm/70000001065274281,branch
Baqsha,ресторан,Рестораны; Бары; Доставка готовых блюд,"улица Санжара Асфендиярова, 2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.4,436,87788888754,,,,,,,,,https://instagram.com/baqsha_lounge,,,,https://wa.me/77788888754,,,,,,,51.130978,71.377038,https://2gis.com/firm/70000001063802747,branch
Creatti ,ресторан ,Рестораны; Доставка готовых блюд; Бары,"проспект Мангилик Ел, 59",6 помещение,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.3,22,87000695959,,,,,,,,,https://instagram.com/creatti.resto,,,,https://wa.me/77000695959,,,,,,,51.085546,71.422634,https://2gis.com/firm/70000001082710815,branch
Sharbak,караоке-бар,Рестораны; Караоке-залы; Доставка готовых блюд,"проспект Шакарим Кудайбердыулы, 88",2 этаж,,Юго-Восток (левая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-01:00,+05:00,4.1,214,87073029706,,,,,,http://sharbak2gis.2gis.biz,,,https://instagram.com/kafe_sharbakk,,,,https://wa.me/77073029706,,,,,,,51.14724,71.522194,https://2gis.com/firm/70000001067738061,branch
MILLIONAIRE,ресторан-караоке,Рестораны; Караоке-залы; Бары,"проспект Мангилик Ел, 54",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 19:00-04:00; Вт: 19:00-04:00; Ср: 19:00-04:00; Чт: 19:00-04:00; Пт: 19:00-04:00; Сб: 19:00-05:00; Вс: 19:00-05:00,+05:00,4.4,380,87715555549,,,,,,,,,https://instagram.com/millionaire.astana,,,,https://wa.me/77715555549,,,,https://t.me/millionaire_ast,,,51.089937,71.425724,https://2gis.com/firm/70000001039312217,branch
Ajva,ресторан,Рестораны; Караоке-залы,"проспект Кабанбай батыр, 49",НП: 19,,,Нура район,Астана,,Астана,Казахстан,Пн: 13:00-01:00; Вт: 13:00-01:00; Ср: 13:00-01:00; Чт: 13:00-01:00; Пт: 13:00-03:00; Сб: 13:00-03:00; Вс: 13:00-01:00,+05:00,4.3,98,87004349037,,,,,,,,,https://instagram.com/ajva_astana,,,,https://wa.me/77004349037,,,,,,,51.101867,71.405536,https://2gis.com/firm/70000001078508849,branch
Blackwood,гриль-бар,Рестораны; Бары,"проспект Улы Дала, 71",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 15:00-03:00; Вт: 15:00-03:00; Ср: 15:00-03:00; Чт: 15:00-03:00; Пт: 15:00-03:00; Сб: 15:00-03:00; Вс: 15:00-03:00,+05:00,4.5,171,87077332222,,,,,,,,,https://instagram.com/blackwood_bar_grill,,,,https://wa.me/77077332222,,,,,,,51.092898,71.449185,https://2gis.com/firm/70000001065964310,branch
Provino Wine Bar&Store,винотека ,Рестораны; Бары,"улица Кенесары, 30",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-01:00,+05:00,4.4,205,87784252221,,,provinoastana@gmail.com,,,info2gis.tilda.ws/proxy18-kz?target=https://www.instagram.com/provinoastana&back=https://2gis.kz/astana/firm/70000001018072088?m=71.42057%2C51.164364%2F16&mode=0,,,,,,,https://wa.me/77784252221,,,,,,,51.164364,71.42057,https://2gis.com/firm/70000001018072088,branch
Melissa,,Рестораны; Караоке-залы; Бары; Доставка готовых блюд,"улица Жекебатыр, 47",,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 17:00-06:00; Вт: 17:00-06:00; Ср: 17:00-06:00; Чт: 17:00-06:00; Пт: 17:00-06:00; Сб: 17:00-06:00; Вс: 17:00-06:00,+05:00,4.1,482,87782440131,,,,,,,,,https://instagram.com/karaoke_melissa,,,,https://wa.me/77782440131,,,,,,,51.143788,71.423506,https://2gis.com/firm/70000001060640500,branch
L`avenue,,Рестораны,"улица Шамши Калдаяков, 2",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.6,75,87010702940,,,lavenueboncafe@gmail.com,,,,,,https://instagram.com/l.avenue_astana,,,,https://wa.me/77010702940,,,,,,,51.118766,71.454578,https://2gis.com/firm/70000001075800059,branch
Традициональ,гостинично-ресторанный комплекс,Рестораны; Гостиницы; Доставка готовых блюд; Банкетные залы; Бани / Сауны,"проспект Туран, 33",,,Караоткель-1 м-н,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (служба доставки: пн-вс 10:00-23:00),+05:00,4.4,122,87172402020 (гостиница),87172402181 (ресторан),87477402181 (ресторан и служба доставки ),info@traditional.kz,,,http://traditionalhome.kz,http://www.traditional.kz,,https://instagram.com/traditionalkz,,,,https://wa.me/77055680444,https://wa.me/77477402181,,,,,,51.138718,71.408236,https://2gis.com/firm/70000001018123134,branch
Art Astana,гостиничный комплекс,Рестораны; Гостиницы; Доставка готовых блюд; Конференц-залы / Переговорные комнаты,"улица Желтоксан, 42",1-5 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.4,122,87775158580 (ресепшн),87779689393 (ресторан),,sales@hotelartastana.kz,info@hotelartastana.kz,,,,,https://instagram.com/art_astana_hotel,,,,https://wa.me/77775158580,,,,,,,51.179192,71.413058,https://2gis.com/firm/70000001018062628,branch
Kebab City,,Рестораны; Караоке-залы; Банкетные залы,"проспект Ракымжан Кошкарбаев, 25",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.6,204,87783030655,,,,,,,,,https://instagram.com/kebab_city_astana,,,,https://wa.me/77783030655,,,,,,,51.127196,71.488398,https://2gis.com/firm/70000001065442208,branch
ВАО ВАО,караоке-зал,Рестораны; Караоке-залы,"проспект Кабанбай батыр, 5",,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.2,710,87015869999,,,,,,http://bao-bao.kz/,,,https://instagram.com/baobao.nur,,,,https://wa.me/77015869999,,,,,,,51.144849,71.419298,https://2gis.com/firm/70000001050750737,branch
Shoreditch,ресторан,Рестораны; Бары,"проспект Кабанбай батыр, 7",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-01:00; Чт: 12:00-24:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-24:00,+05:00,4.8,1216,87779994114,,,,,,,,,https://instagram.com/shoreditch.astana,,https://facebook.com/shoreditchastana,,https://wa.me/77779994114,,,,,,,51.141758,71.41797,https://2gis.com/firm/70000001021440876,branch
Салтанат Сарайы,ресторанный комплекс,Рестораны; Банкетные залы; Конференц-залы / Переговорные комнаты; Аренда площадок для культурно-массовых мероприятий; Кейтеринг,"проспект Кабанбай батыр, 3",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.2,154,87751040033 (отдел продаж),,,,,,,,,https://instagram.com/saltanat.saraiy.dp,,,,https://wa.me/77751040033,,,,https://t.me/+77751040033,,,51.149872,71.423376,https://2gis.com/firm/70000001038586700,branch
Take Eat Easy,ресторан,Рестораны; Доставка готовых блюд,"проспект Туран, 22/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00 (служба доставки: пн-вс 9:00-23:00),+05:00,4.0,416,87003336888,,,,,,http://takeeateasygo.kz,http://takeeateasy.kz,,https://instagram.com/takeeateasy_tse,,,,https://wa.me/77003336888,,,,,,,51.139916,71.412121,https://2gis.com/firm/70000001068413680,branch
The Wine Cafe,винный бар,Рестораны; Бары,"проспект Кабанбай батыр, 9/2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+05:00,4.2,109,87776660515,,,,,,http://www.thewinecafe.kz,,,https://instagram.com/winecafe_astana,,,,https://wa.me/77776660515,,,,,,,51.140336,71.416971,https://2gis.com/firm/70000001036545811,branch
Rabiya,ресторан,Рестораны,"улица Сарайшык, 11/1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00,+05:00,4.5,331,87750802828,87172480251,,,,,http://kuula.co/share/collection/7F3YJ?logo=-1&card=1&info=0&fs=1&vr=1&zoom=1&gyro=0&initload=0&thumbs=0&inst=ru,,,https://instagram.com/rabiyagroup,,,,https://wa.me/77750802828,,,,,,,51.135407,71.431265,https://2gis.com/firm/70000001040167481,branch
Угли,,Рестораны; Бары; Караоке-залы,"проспект Туран, 21а",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-03:00,+05:00,4.4,131,87006060800,,,,,,,,,https://instagram.com/ugli.bar,,,,https://wa.me/77006060800,,,,,,,51.142472,71.409886,https://2gis.com/firm/70000001083911738,branch
Ginza,ресторан-караоке,Рестораны; Караоке-залы,"проспект Туран, 15",,,Караоткель-2 м-н,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-05:00; Сб: 12:00-05:00; Вс: 12:00-03:00,+05:00,4.4,467,87774391212,,,,,,,,,https://instagram.com/ginza.astana,,,,https://wa.me/77774391212,,,,,,,51.147458,71.411465,https://2gis.com/firm/70000001036217339,branch
Томирис,ресторан,Рестораны,"шоссе Коргалжын, 2а",16 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.4,14,87172791500,,,,,,http://www.hoteldumanastana.com,,,,,,,,,,,,,,51.149573,71.415383,https://2gis.com/firm/70000001024356905,branch
Скандалистъ,ресто-бар,Рестораны; Бары,"проспект Туран, 3",,,Караоткель-2 м-н,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-02:00,+05:00,4.2,92,87088883399,,,,,,,,,https://instagram.com/skandalist.astana,,,,https://wa.me/77088883399,,,,,,,51.154053,71.41138,https://2gis.com/firm/70000001074750604,branch
La Mia Piazza,,Рестораны; Пиццерии,"проспект Туран, 22/1",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+05:00,4.8,1473,87010225022,,,,,,,,,https://instagram.com/la_mia_piazza,,,,https://wa.me/77010225022,,,,,,,51.139391,71.410125,https://2gis.com/firm/70000001055933855,branch
Chechil Pub,,Рестораны; Бары; Доставка готовых блюд,"проспект Туран, 24",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 14:00-03:00; Вс: 16:00-02:00,+05:00,4.1,584,87788921112,,,,,,,,,https://instagram.com/chechil_saryarka,,,,https://wa.me/77788921112,,,,,,,51.138859,71.410094,https://2gis.com/firm/70000001075867020,branch
Turandot,ресторан,Рестораны; Доставка готовых блюд,"улица Кайым Мухамедханов, 5",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-03:00,+05:00,4.3,228,87778703277,87778703278,87172249707,,,,http://turandot.kz,,,https://instagram.com/turandot.kz,,,,https://wa.me/77778703278,,,,,,,51.138047,71.405213,https://2gis.com/firm/70000001083765300,branch
Edesma ,,Рестораны,"проспект Туран, 22/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.0,27,87754413240,,,,,,,,,https://instagram.com/edesma_greek_cuisine,,,,https://wa.me/77754413240,,,,,,,51.140692,71.411697,https://2gis.com/firm/70000001083827032,branch
Багратиони,ресторанный комплекс,Рестораны; Банкетные залы; Бары,"проспект Туран, 25",1 этаж,,Караоткель-1 м-н,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.0,191,87172402148,87759022417,,,,,,,,https://instagram.com/bagrationikz,,,,https://wa.me/77759022417,,,,,,,51.14106,71.409227,https://2gis.com/firm/70000001018084187,branch
La Maro,,Рестораны; Бары; Доставка готовых блюд,"проспект Туран, 22/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.4,264,87010522622,,,,,,http://lamaro.kamiqr.com/menu/basic,,,https://instagram.com/lamaro.astana,,,,https://wa.me/77010522622,,,,,,,51.139873,71.412065,https://2gis.com/firm/70000001052279027,branch
Томирис,ресторан,Рестораны; Бары; Банкетные залы,"шоссе Коргалжын, 9",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00 (лаундж-бар: пн-вс 12:00-00:00),+05:00,4.9,132,87172642711,87026146520,87779533052,,,,,,,https://instagram.com/tomiris_restaurant,,,,https://wa.me/77026146520,https://wa.me/77779533052,,,,,,51.147097,71.394569,https://2gis.com/firm/70000001074996677,branch
CrepeCafe,,Рестораны; Доставка готовых блюд; Кафе,"улица Динмухамед Конаев, 12/1",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00 (служба доставки: пн-вс 10:00-22:00),+05:00,4.6,1519,87719494949,,,info@crepecafe.kz,,,http://crepecafe.kz,,,https://instagram.com/crepecafe_kz,,https://facebook.com/crepecafekz,,https://wa.me/77719494949,,,,,,,51.129394,71.427792,https://2gis.com/firm/70000001025216760,branch
Мята sky,лаундж-бар,Рестораны; Бары,"улица Сыганак, 45",25 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-04:00; Вт: 12:00-04:00; Ср: 12:00-04:00; Чт: 12:00-04:00; Пт: 12:00-04:00; Сб: 16:00-04:00; Вс: 16:00-04:00,+05:00,4.3,903,87012021313,,,,,,,,,https://instagram.com/myata.sky,,,,https://wa.me/77012021313,,,,https://t.me/+77012021313,,,51.123144,71.432834,https://2gis.com/firm/70000001037596229,branch
Garo,ресторан,Рестораны,"улица Достык, 16",3 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.8,79,87711595656,,,,,,http://garo.com.kz/,,,https://instagram.com/garo.talangallery,,https://facebook.com/garo.talangallery,,https://wa.me/77711595656,,,,,,,51.125259,71.431884,https://2gis.com/firm/70000001052483992,branch
Chaihana NAVAT,ресторан,Рестораны; Доставка готовых блюд,"проспект Кабанбай батыр, 21",3 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00 (служба доставки: пн-вс 10:30-22:00),+05:00,4.7,4506,87778441111,,,chaihana.navat.kz@gmail.com,,,http://navat.kz,,,https://instagram.com/navat_astana,,https://facebook.com/navat.kz,,https://wa.me/77778441111,,,,,,https://youtube.com/channel/UCG1BLltcElVfRcoH5Z8pHEg,51.128249,71.412681,https://2gis.com/firm/70000001040709213,branch
Marani,грузинский ресторан,Рестораны,"улица Сарайшык, 6",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.7,249,87788008688,,,,,,,,,https://instagram.com/maranicafe_astana,,,,https://wa.me/77788008688,,,,,,,51.13535,71.419856,https://2gis.com/firm/70000001075431026,branch
Revolving,ресторан,Рестораны,"улица Сыганак, 45",23 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 16:00-24:00; Вт: 16:00-24:00; Ср: 16:00-24:00; Чт: 16:00-24:00; Пт: 16:00-24:00; Сб: 13:00-24:00; Вс: 13:00-24:00,+05:00,4.6,615,87014401576,,,,,,http://soluxeastana.kz/,,,https://instagram.com/revolving.restaurant_astana,,,,https://wa.me/77014401576,,,,,,,51.123144,71.432834,https://2gis.com/firm/70000001018072428,branch
Дареджани,ресторан,Рестораны; Доставка готовых блюд,"проспект Кабанбай батыр, 34",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00 (служба доставки: пн-вс 11:00-22:00),+05:00,4.1,597,87717228290,,,,,,http://abr.kz/restaurant/daredzhani abr.kz,http://taplink.cc/daredzhani,,https://instagram.com/daredzhani,,https://facebook.com/abrest,,https://wa.me/77717228290,,,,,,,51.130411,71.415029,https://2gis.com/firm/70000001018089424,branch
Afsona,ресторан,Рестораны,"улица Сыганак, 60/5",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.1,840,87015352524,,,,,,http://mkfamily.kz,,,https://instagram.com/afsona_kz,,https://facebook.com/afsonakz,,https://wa.me/77015352524,,,,,,,51.121242,71.42703,https://2gis.com/firm/70000001040874008,branch
Dali,ресторан,Рестораны; Бары; Караоке-залы; Доставка готовых блюд,"улица Достык, 1/2",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.7,76,87012143322,,,,,,,,,https://instagram.com/dali_astana,,,,https://wa.me/77012143322,,,,,,,51.12946,71.419159,https://2gis.com/firm/70000001056753572,branch
Loyo,,Рестораны; Доставка готовых блюд,"улица Сарайшык, 4",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,4.1,198,87003338889,,,,,,http://loyo.kz,,,https://instagram.com/loyobistro,,,,https://wa.me/77003338889,,,,,,,51.135457,71.41922,https://2gis.com/firm/70000001060270258,branch
Грузин Кузин,,Рестораны; Доставка готовых блюд,"проспект Кабанбай батыр, 34",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+05:00,4.6,220,87019094405,,,,,,,,,https://instagram.com/gruzin_kz,,,,https://wa.me/77019094405,,,,,,,51.130205,71.414307,https://2gis.com/firm/70000001083031554,branch
Osteria Luce,,Рестораны; Доставка готовых блюд; Бары,"улица Сарайшык, 5г",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.0,60,87005800008,87010000224,,,,,,,,https://instagram.com/luce_restaurant,,,,https://wa.me/77005800008,https://wa.me/77010000224,,,,,,51.136096,71.421008,https://2gis.com/firm/70000001063841278,branch
Salone del Gusto,ресторан,Рестораны,"проспект Кабанбай батыр, 15а",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.2,42,87715005015,,,,,,,,,https://instagram.com/salonedelgusto_astana,,https://facebook.com/salonedelgusto.ast,,https://wa.me/77715005015,,,,,,,51.136284,71.413646,https://2gis.com/firm/70000001029431367,branch
Buddha-bar,,Рестораны,"улица Сыганак, 60/5",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 18:00-01:00; Вт: 18:00-01:00; Ср: 18:00-01:00; Чт: 18:00-01:00; Пт: 18:00-02:00; Сб: 18:00-02:00; Вс: 18:00-01:00,+05:00,4.4,64,87017071230,,,,,,http://buddhabar-astana.com/,,,https://instagram.com/buddhabarastana,,,,https://wa.me/77017071230,,,,,,,51.121877,71.426658,https://2gis.com/firm/70000001074183200,branch
Lou Lou,французский ресторан,Рестораны,"улица Достык, 13",1-2 этаж; НП: 13,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+05:00,4.1,287,87778081888,,,,,,http://lou-lou.kz,,,https://instagram.com/loulou_astana,,,,https://wa.me/77778081888,,,,,,,51.126509,71.437284,https://2gis.com/firm/70000001063404829,branch
Divan,ресторан,Рестораны; Доставка готовых блюд; Кондитерские изделия,"улица Динмухамед Конаев, 14",1-2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.1,169,87172508229,87025115710,,,,,,,,https://instagram.com/divanastana,,,,https://wa.me/77025115710,,,,,,,51.128477,71.433711,https://2gis.com/firm/70000001019499807,branch
Royal Pub,ресто-бар,Рестораны; Кафе; Бары,"улица Динмухамед Конаев, 29/1",2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+05:00,4.5,66,87022221199,,,,,,,,,https://instagram.com/royalpub_ast,,,,https://wa.me/77022221199,,,,,,,51.131419,71.429292,https://2gis.com/firm/70000001077486468,branch
